DeptID,Department Name,Branch / City Location,Head of Department,Total Beds,Occupied Beds,Available Beds,ICU Beds,Ventilators Count,Total Doctors,Nursing Staff,Support Staff,Floor No,Block / Wing,Monthly Operating Cost (?),Monthly Revenue (?),Emergency Service (24/7),Equipment Count,Maintenance Status,Department Rating
DEPT0001,Dermatology,Madurai,Dr. Dinesh Pandian,111,70,41,24,8,23,37,18,Floor 3,Block Emergency Wing,475203,594006,Yes,62,Inspection Due,4.8
DEPT0002,Gynecology & Obstetrics,Chennai (Adyar),Dr. Karthik Ganesan,97,31,66,15,10,21,41,17,Floor 4,Block D,948143,1244854,Yes,71,Fully Operational,4.5
DEPT0003,Endocrinology,Coimbatore,Dr. Saravanan Natarajan,46,30,16,12,8,22,18,21,Floor 2,Block B,368148,482872,Yes,69,Fully Operational,4.5
DEPT0004,Pathology & Lab,Coimbatore,Dr. Sundar Kumar,75,59,16,11,5,6,20,29,Floor 2,Block D,571836,1045721,No,43,Fully Operational,4.9
DEPT0005,Pulmonology,Erode,Dr. Sundar Balaji,101,49,52,24,17,17,32,22,Floor 5,Block B,1042139,1641289,Yes,38,Under Maintenance,4.1
DEPT0006,Dermatology,Vellore,Dr. Karthik Ganesan,47,33,14,14,4,21,22,10,Floor 3,Block A,312666,375771,Yes,50,Inspection Due,4.9
DEPT0007,Gastroenterology,Chennai (Adyar),Dr. Karthik Swaminathan,62,33,29,8,4,16,54,29,Floor 3,Block C,501664,711384,No,12,Fully Operational,4.6
DEPT0008,Radiology & Imaging,Tirunelveli,Dr. Prabhu Chelliah,54,35,19,13,4,11,46,11,Floor 6,Block Emergency Wing,1454454,2287990,Yes,38,Fully Operational,4.1
DEPT0009,Anaesthesiology,Salem,Dr. Arun Murugesan,84,71,13,24,7,16,58,27,Floor 6,Block Specialty Tower,842335,1444779,No,71,Fully Operational,4.2
DEPT0010,Endocrinology,Madurai,Dr. Kannan Sundaram,42,16,26,9,4,13,51,8,Floor 3,Block B,1214091,1603678,Yes,41,Fully Operational,4.7
DEPT0011,Ophthalmology,Chennai (Main),Dr. Siva Ganesan,78,11,67,6,2,9,31,24,Floor 2,Block B,1198613,1406135,Yes,10,Fully Operational,4.1
DEPT0012,Gastroenterology,Thanjavur,Dr. Suresh Swaminathan,107,64,43,14,9,21,52,12,Floor 4,Block B,1283237,1833972,No,25,Under Maintenance,4.3
DEPT0013,Gynecology & Obstetrics,Coimbatore,Dr. Siva Ganesan,98,45,53,22,4,23,34,14,Floor 4,Block A,384896,549747,Yes,10,Fully Operational,4.7
DEPT0014,Psychiatry,Tirunelveli,Dr. Ganesh Natarajan,46,25,21,19,18,6,15,23,Floor 6,Block D,1107364,1971431,Yes,18,Fully Operational,4.7
DEPT0015,Pulmonology,Coimbatore,Dr. Siva Venkatesh,93,42,51,23,12,21,22,11,Floor 6,Block D,816349,944056,Yes,34,Fully Operational,4.2
DEPT0016,Psychiatry,Chennai (Adyar),Dr. Senthil Swaminathan,100,50,50,7,2,8,47,21,Floor 5,Block D,1407447,2258590,No,26,Fully Operational,4.5
DEPT0017,Anaesthesiology,Salem,Dr. Sundar Srinivasan,77,60,17,11,3,5,42,22,Floor 1,Block Emergency Wing,1179611,1953101,Yes,44,Fully Operational,4
