MedicineID,Medicine Name,Category,Manufacturer,Batch No,Unit Price (?),Stock Quantity,Reorder Level,Manufacture Date,Expiry Date,Supplier,Stock Value (?)
MED0001,Azithromycin 500mg,Antibiotic,Micro Labs,B15293,199.95,1552,150,2025-03-15,2027-11-30,Micro Labs,310322.4
MED0002,Pantoprazole 40mg,Antacid,Reddy Laboratories,B51970,63.48,1061,150,2025-03-15,2027-11-30,Reddy Laboratories,67352.28
MED0003,Atorvastatin 10mg,Anti-inflammatory,SunPharma Ltd,B46389,42.16,1698,150,2025-03-15,2027-11-30,SunPharma Ltd,71587.68
MED0004,Ranitidine 150mg,Antibiotic,Cipla TN,B90138,96.45,965,150,2025-03-15,2027-11-30,Cipla TN,93074.25
MED0005,Metformin 500mg,Cardiovascular,SunPharma Ltd,B24118,154.78,179,150,2025-03-15,2027-11-30,SunPharma Ltd,27705.62
MED0006,Diclofenac 50mg,Vitamin,Micro Labs,B54016,105.57,169,150,2025-03-15,2027-11-30,Micro Labs,17841.33
MED0007,Pantoprazole 40mg,Analgesic,Micro Labs,B21004,113.76,959,150,2025-03-15,2027-11-30,Micro Labs,109095.84
MED0008,Diclofenac 50mg,Analgesic,Abbott India,B13185,202.45,751,150,2025-03-15,2027-11-30,Abbott India,152039.95
MED0009,Vitamin D3 Capsule,Antidiabetic,Reddy Laboratories,B84697,175.42,122,150,2025-03-15,2027-11-30,Reddy Laboratories,21401.24
MED0010,Telmisartan 40mg,Cardiovascular,Abbott India,B84099,22.37,221,150,2025-03-15,2027-11-30,Abbott India,4943.77
MED0011,Ranitidine 150mg,Analgesic,Abbott India,B89991,36.43,418,150,2025-03-15,2027-11-30,Abbott India,15227.74
MED0012,Telmisartan 40mg,Antacid,Micro Labs,B97091,227.13,1523,150,2025-03-15,2027-11-30,Micro Labs,345918.99
MED0013,Cefixime 200mg,Cardiovascular,SunPharma Ltd,B56209,154.42,1143,150,2025-03-15,2027-11-30,SunPharma Ltd,176502.06
MED0014,Metformin 500mg,Vitamin,Reddy Laboratories,B11552,170.33,1195,150,2025-03-15,2027-11-30,Reddy Laboratories,203544.35
MED0015,Ranitidine 150mg,Antacid,Micro Labs,B38994,41.68,248,150,2025-03-15,2027-11-30,Micro Labs,10336.64
